爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
手帐,b站有很多做这个领域视频的up，大概就是贴贴图案，我认为这算是一种低门槛的拼贴艺术，对各类图案、素材进行再创作,3~5年,20000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,其实这个花销不太确定，主要是看自己乐不乐意花钱。有时甚至投入的钱很少也可以做得很好看,一到两年吧（看个人的审美，这东西做出来也不一定要给别人看，主要自己开心,3 - 不高不低,3
立直麻将,众多麻将规则中比较复杂的一种，需要对牌型的把握，攻防时机的判断，算是一种益智游戏,<1年,100,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,可以不需要一分钱,平均三年吧其实我也不太知道,2,2
客制化键盘,高端定制键盘,3~5年,20w,硬核大佬，这个领域基本玩到头了,4,<1小时,2000，20000,1个月，1年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
画画,,1~3年,1w以上（主要是买一些设备）,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门与精通在金钱上无门槛 主要投入的是时间成本,一年以上,5 - 广为人知，老少咸宜的全民爱好,5
长跑(20km以上),,1~3年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,2000,3h/d,3 - 不高不低,3
辩论,辩论，述理也。通过语言的艺术，讲述最精妙的道理，传播让人耳目一新的逻辑，抒发自己独到的见解和观点。,3~5年,1000 maybe 主要是前期购置正装，不过后面各种比赛也回血回上来了。,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0元，当前互联网背景下，不需要金钱投入，但需要比较多精力与热情。,每月至少得有一场比赛，但平常的信息收集与复盘学习也不能少。根据个人天赋，起码要入门三年以上才有可能达到精通。,2,2
观看相扑,日本的一种运动，两名力士将对手推出圈外，或者让对手除了脚以外的地方着地就算胜利。,1~3年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,2年-3年,2,2
amsr,ASMR（英语：Autonomous sensory meridian response，缩写ASMR），即自发性知觉经络反应，意思是指人体通过视、听、触、嗅等感知上的刺激，在颅内、头皮、背部或身体其他部位产生的令人愉悦的独特刺激感，又名耳音、颅内高潮等。,3~5年,0rmb,就睡前听一听,,<1小时,不需要,不需要时间,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
滑板,起源于美国，在国内最近才流行起来.如果你想买一块滑板，最简单的方法当时是去某宝。但某宝上面充斥着玩具版，做工很劣质，当然价格很便宜。能打动一部分想入坑的人，这种玩具板不会有专业板的那种体验而且因为劣质会导致在滑行的过程中会导致受伤🤕️。另一种就是你有了滑板但是找不到组织，没人教，最后只好吃灰。,3~5年,3k～4k,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1k,看个人天赋和练习时间，学一些基础招1个月到6个月不等,,
悠悠球,知道火力少年王吗，大家都知道有这么个东西，当兴趣爱好的很少,3~5年,1200,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门100以内，精通500以内,入门2个月，精通2年，每天要2小时以上,2,2
无人机,,<1年,8000,萌新入门阶段，还在摸索学习,1,<1小时,10000,一个月吧,4,4
日麻,日本麻将 竞技＞娱乐 ,1~3年,＜200,萌新入门阶段，还在摸索学习,1,1~3小时,0,入门 100小时  精通需要2年起步,,
打毛衣、针织编织,算不上很小众吧,1~3年,2000内吧,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,100块钱,半个月到一个月吧,5 - 广为人知，老少咸宜的全民爱好,5
喜欢听动漫OST,大家多数时候只会关注剧情本身好像对于剧情的配乐并不会有过多的留念，但我自己非常喜欢好的配乐配好的剧情演出。然后看完后我会把OST加入到自己的OST歌单平时一直听，就我觉得OST和纯音乐还是有些许不同的，OST本身在好的动漫演出下就显得额外迷人。,1~3年,买CD1000左右,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,0,1小时足以迷上动漫原声,2,2
围棋,就是用黑白二子来围棋盘上的所谓的“空”，由于围棋入门比较难，而且所需要的时间比较长，在如今的快餐信息时代里并不能如何出圈，我觉得比较小众,1~3年,500～600,萌新入门阶段，还在摸索学习,1,1~3小时,2000～？,一个月入门，精通？,3 - 不高不低,3
音游/类音游,,1~3年,500以内,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门:0  精通:2000,入门:50小时  精通:至少1000小时吧,,
公路自行车,,<1年,5000~1w,萌新入门阶段，还在摸索学习,1,<1小时,入门：3000 精通：30w,入门：1周 精通：3年,3 - 不高不低,3
爬宠,有些人隔应蜘蛛 蛇,1~3年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,30-5w+,三五年,2,2
绘画,,5~10年,70000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：500 精通：10w+,入门1-2年 精通：20-30年,4,4
摄影和露营吧,,3~5年,摄影差不多2W，露营设备2000以内,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,差不多就是我这点吧,摄影感觉入门半年就行，精通得下辈子吧，哈哈哈哈。露营快的，主要是找地方，一个月就行，精通也得要几年,4,4
球衣收藏,,3~5年,5000+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门三位数，精通五位数起步,入门可能90分钟一场比赛就能让你入门，精通得经过不断积累，具体不太好说,3 - 不高不低,3
睡觉,找到一个自己合适，并且喜欢的睡觉氛围,>10年,60000,萌新入门阶段，还在摸索学习,1,>6小时,1,1天？,,
摇滚乐,,5~10年,算上耳机和唱片机几年一共几千元，追求品质可以买CD或者黑胶唱片，看live一共也花了几千元,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,因为只是音乐，只是想深入了解，几乎不需要钱，一副好耳机就可以了，追求高可以买唱片机，看live一场大概一两百，每个人差异很大,2年,5 - 广为人知，老少咸宜的全民爱好,5
看动漫,,1~3年,500-1000,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,不太清楚，个人觉得入门应该200以上（？）精通大概在1000以上吧（）,入门大概在一年（？）精通估计几年或者十几年吧，主要看怎么理解动漫（？）,,
蝴蝶刀花式,就类似转笔差不多，指尖运动,<1年,300,萌新入门阶段，还在摸索学习,1,<1小时,入门：34元；精通：200元以上,入门：2个月；精通：1年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
捏粘土,感觉不太小众,<1年,500,萌新入门阶段，还在摸索学习,1,<1小时,入门:20块钱（可能吧）精通:上百上千,入门:一两周  精通:看天赋估计快的三个月没天赋的话估计以年打底,3 - 不高不低,3
诗歌创作,抓住稍纵即逝的灵感,3~5年,没有花销，如果本子和笔算的话也不过百,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,可能更耗费的是灵感和脑子吧，金钱倒不至于,五年七年的吧,3 - 不高不低,3
Java,,3~5年,2w,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,一台电脑足矣,普通人得5年以上,5 - 广为人知，老少咸宜的全民爱好,5
乒乓,乒乓球：小；打乒乓球：众,3~5年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,300,3个月,5 - 广为人知，老少咸宜的全民爱好,5
日麻,立直麻将,3~5年,2000~3000,资深玩家，但很少与他人分享自己的见解,3,1~3小时,入门0  精通0,一天入门 十年精通,2,2
furry,动物拟人，毛茸茸,<1年,100,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,800,五年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
追星,,1~3年,上千(并持续增长),爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门需上千，精通需上万,入门几个月，精通看个人的付出程度至少1年以上,3 - 不高不低,3
钢琴,,>10年,20万,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门0 精通10万起步,入门一两周 精通5年到10年（其实没有人敢说自己精通钢琴演奏）,,
穿搭型串珠首饰,类似于潘多拉的首饰，但实际这个圈子很广，有很多国内国际设计师的品牌,5~10年,没太计算过，大约10万+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"入门：很简单，买几个串珠自己搭配就好
精通：不好说，几万？需要有自己的风格和审美，分享自己的穿搭","入门：一分钟入门，入门门槛很低
精通：需要花很长时间等一个自己喜欢的串饰或者风格，半年？",3 - 不高不低,3
较真抬杠,,5~10年,0,萌新入门阶段，还在摸索学习,1,<1小时,0,看个人较真程度,,
现代俄罗斯方块,不同于经典的等竖条 落地定死的经典俄罗斯方块  现代俄罗斯方块pvp对抗非常激烈 宽松的判断让门槛降低,1~3年,俄罗斯方块效应花了20多（跨区）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,大部分主流游戏免费的十分亲民 甚至都能在微机课上直接开玩,半年以上,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
股票与期货交易,期货相对小众一点，大致是判断后续行情，下单看多和看空合约，平仓后如果这段时间时长走势符合自己的多空预期则有盈利，不符合的则是对应的亏损。,<1年,亏损3000-4000,萌新入门阶段，还在摸索学习,1,1~3小时,因人而异。。,1年，3年以上,3 - 不高不低,3
追星，看V,,5~10年,5w ,追星也不需要到达某种程度成为大粉，普普通通追星就好了,,3~6小时,白嫖追星最好,1小时,4,4
CrossFit,一项融合了有氧、奥林匹克举重、广义体操的综合运动,<1年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1500,3年以上,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
收集瓶瓶罐罐（非常随意）,,<1年,300也许吧,我不知道它是不是有圈子，我只是自己喜欢,2,<1小时,入门10块钱买个瓶子，精通100块多买几个瓶子（开心就好）,花一小时打扮一下自己的瓶子,3 - 不高不低,3
练字 钢笔,,<1年,200,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000  5000,一年 三年,,
和网友一起玩《泰拉瑞亚》,开服务器，招募同好者，定期组织一起玩，玩这个游戏的各种地图,5~10年,"5000+,主要是买游戏周边和服务器花销",爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,游戏本体35元，其他不需要花钱,想玩的时候就玩，不需要投入时间,2,2
手办模玩,收集各种二次元模型手办,<1年,21000元,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门可能几十块买个盲盒也算是入坑了 精通的话没个几万感觉都不算啥,入门的话线下泡泡玛特逛个半小时买了盲盒就行 精通的话得花个两三年吧,3 - 不高不低,3
烘焙,,3~5年,4000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门500 精通10000,入门1周 精通5年,,
和Yuri(百合)相关的企划，动漫，同人文，同人音声，资讯，Vlog等等,就是和les(百合)相关的一切啦,1~3年,5000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"入门很简单的，和圈子里的人聊上几周，就可以了解到基本的平台，黑话，论坛，信息等等，精通的话，大概1-2年左右吧，入门到精通的花销很少，甚至是零成本，不过在周边，企划，展览，还有个人Cos,写文，组织活动上的花销不少，属于因人而异，上不封顶。",想入门:1周左右；精通:1年左右,3 - 不高不低,3
温铁军,"举一个例子 以下是个人总结 可能与教授有出入 一切以教授为准
温铁军教授的十次危机（b站就有） 讲述了我国从1949年建国以来到现如今的十次经济危机成因以及各种解决方法（有的是硬着落）
温铁军教授是我国优秀的三农问题专家 是优秀的本土发展经验总结者 知识生产者 他解构了现如今西方主流经济学 对于发展中特有重要意义",1~3年,b站课程99 大多数视频均免费,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,买书的钱 或者自己找pdf资源,1年以上,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
loveplus,一个3ds恋爱游戏,1~3年,3000左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,600左右,半年到五年吧,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
花切,花式纸牌技巧，包括但不限于洗牌，飞牌弹牌，部分魔术手法,1~3年,＜100,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,200～300（大概？如果只是买练习牌一直练习手法的话）,1h/天，坚持一年（也因人而异）,3 - 不高不低,3
wargame,大伙儿更喜欢叫真人cs,1~3年,一万块左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门少则二三百块,高无上限,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
Citypop 黑胶收藏,收藏上世纪八十年代日本所流行的黑胶唱片，此种类名为citypop，当下流行的蒸汽波由此发展而来,1~3年,500,萌新入门阶段，还在摸索学习,1,<1小时,50以下，3w,一下午，几个月,2,2
看F1,,1~3年,100不到,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,5年,3 - 不高不低,3
汉服,汉服是汉民族传统服饰，不是单指汉朝的服饰，她有秦汉的曲裾等，有魏晋的晋襦(这个很容易和购物平台的一些仙服影楼装弄混)，有唐的衫裙(齐胸齐腰是一种穿法，不是衣服形制)、坦领，有宋的长衫、百褶裙，有明的交领衫、对襟衫、马面裙等等等等。(不要再指汉为韩了，求求了！),5~10年,1000(前几年都只是在看，近几年才渐渐开始买),爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"入门的话不需要花钱，多看少买少走弯路
精通的话要看喜欢日常白菜款还是礼服昂贵款","入门需要几个月吧
精通需要五年以上",3 - 不高不低,3
自我管理,包括时间管理，理财，任务管理等。非管理学科学生。,1~3年,大于100,萌新入门阶段，还在摸索学习,1,<1小时,1000？应该不用多少，比较消耗意志力,一辈子……,,
开心消消乐,,5~10年,0,硬核大佬，这个领域基本玩到头了,4,1~3小时,0,入门：一分钟 精通：一分钟,5 - 广为人知，老少咸宜的全民爱好,5
羽毛球,,1~3年,3000,萌新入门阶段，还在摸索学习,1,1~3小时,入门:500+ 精通:4000+,入门:3个月 精通:2年,4,4
魔方,,1~3年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：20   精通：∞,入门：一天  精通：一年,3 - 不高不低,3
游戏速通,,<1年,大概就是买游戏和游戏设备的花销 具体记不得了,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,一般只有买游戏 不太有具体数字,一个游戏大概入门一周 精通一个月（具体情况具体分析）,3 - 不高不低,3
阿美咔叽服饰,简单说就是买衣服，阿美咔叽是一种风格、那种美式复古，好比《黄石》或者《outer range》两部美剧穿搭,1~3年,3万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：1000？无上限,多看别人分享 每天一小时半小时？主要靠买,,
追星,不小众，但是不是大多数人理解的追星,>10年,50万以上,资深玩家，在圈里小有名气，各种玩法都试过,3,>6小时,至少要花10万,五年起步吧,3 - 不高不低,3
乙女游戏,,<1年,2500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,这个应该都可以吧,不存在入门的问题吧,3 - 不高不低,3
业余无线电,使用无线电台和其他持有执照的朋友沟通，在应急救援时起到协助左右,<1年,700,萌新入门阶段，还在摸索学习,1,<1小时,入门 150 精通的话10000+（因为得买短波电台）,入门大概50小时，精通的话大概1000,2,2
羽毛球🏸,,5~10年,3～4w,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：2k  精通：3w,入门：3个月  精通：1年,5 - 广为人知，老少咸宜的全民爱好,5
写算法,就是写算法题，享受逻辑思维的磨练,1~3年,50吧，一本算法导论书,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"人民100不到一本书就行
精通应该多一点，不过网络上资源很多",3年？竞赛金奖的程度吧,无须作答,
摄制vlog,一般人上手容易，做好不容易。,3~5年,50000＋,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门几千，精通几万,入门几天，精通2年以上,3 - 不高不低,3
收集充电头等充电设备,收集或者研究各种充电头，主要是手机的，以及一小部分电脑设备的。和周围的很多人并不理解这个爱好，可能对大多数人来说充电器只是一个数码配件，但对我来说能在其中找到一丝兴奋的感觉。,1~3年,1500+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,500/3000,每天不用一小时,,
木制刀剑之类,,1~3年,5~600,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门1~200 精通无上限 ,天赋好的话拿到就上手，精通15天左右吧,2,2
公交爱好者,最初是对不仅限于公交车的发动机声音、电机声音、报站、外形等方面感兴趣，而后会涉及公交摄影、公交模型和公交周边(票根、线路牌、线路图)等等,3~5年,主要以平时坐车运转为主，无法估量，还有就是买过公交模型等等,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,付车钱就行,半年到一年,2,2
摄影,,3~5年,5万,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,入门：一万   精通：六万以上,入门：多少都行    精通：至少七年,3 - 不高不低,3
看书,看各种书,5~10年,1K-1W,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,1k+,1h/天,5 - 广为人知，老少咸宜的全民爱好,5
练字,,5~10年,1000元以内,选项 5,,<1小时,无法计量吧,无法计量吧,5 - 广为人知，老少咸宜的全民爱好,5
射箭，竞技复合弓,"分类比较广泛，例如反曲弓（奥运会上的那种）复合弓，光弓。复合弓又分狩猎和竞技。我主要是竞技复合，开销还是比较大的，顶级竞技复合一套下来要2-3万，还不包括俱乐部的费用，打比赛的费用。
比赛很多acac，apcc ，全国的积分赛，地区的比赛，奖金如果拿到前三还是能抛去路费赚点钱的。
可以很好的提升自身的专注力，让自己静下来，结交更多的朋友。
虽然现在因为要考公弃坑了，但他对我的帮助非常大，等我上岸后我依然会回去继续。",5~10年,40000+,中等偏上吧，打过比赛，但没拿过很高的名次，曾经的对手已经进过国家队，拿过世界杯第二了。,,1~3小时,2-4万 ,每天四五个小时的训练吧,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
edc 指尖陀螺 推牌,一开始是一种减压玩具，现在是一种收藏爱好。经常买一些，然后解毒后又会闲鱼回血,1~3年,4000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,2000,3月,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
羽毛球,,5~10年,50000+,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,入门5000(能和路人打起来)，精通20000+(大致入选平常大学校队),入门两个月，精通两年左右(均为每周2-3次专业训练),5 - 广为人知，老少咸宜的全民爱好,5
养猫,本来最开始没想填，因为养猫实际算不上传统意义上的爱好，但是看到视频里那一句“给你带来快乐与满足感”，这就是养猫带给我的感受呀！所以果断来填了,1~3年,15000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门至少要自己经济独立，不依靠家人自食其力的情况下，还有富余，没有上限，我个人养猫两年多，现在猫咪健健康康的前提下，平均每月花销在四五百左右（算是贫民式养法）,养猫某种程度我觉得和养小孩类似，它在不断的成长，成长的过程总会碰到各式各样的问题，我也需要在碰到问题的过程中不断学习，不断成长，所以不好定时间，粗略定个一年吧,,
地下城与勇士时装收集,其实就是在DNF里面收集时装，可以用来cos很多动漫角色，npc，以及时装搭配收集，并且可以在地下城的地图中自己来演绎和扮演一系列动漫剧情，真人剧情等。,>10年,5万➕,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,预计每年5000到1万,这个时间是不固定的，只要这个游戏还在就会一直出新的搭配，新的装扮,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
赏析成人电影,,>10年,10000,资深玩家，在圈里小有名气，各种玩法都试过,3,3~6小时,0~999999,100小时起步,4,4
f1,赛车比赛,1~3年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门0精通10000,入门5h精通一年,3 - 不高不低,3
单口喜剧,国内翻译成了脱口秀的东西,1~3年,500,萌新入门阶段，还在摸索学习,1,<1小时,都很少，主要是去开放麦的通勤费,入门的话一个月可以了，玩精通的话看个人，快的一两年,4,4
魔方,广为人知的小众爱好,1~3年,350,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门100以内 精通看玩什么 异形消耗可能会很多,入门：一天   精通：半年到两年（三速,,
剧本杀,近些年不算小众，前些年很小众,5~10年,10000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1W左右了吧，算上每次打本的其他花费，比如吃喝、烟、一些杂费,一个本的时间有长有短，最起码做到一个星期打个3 4次吧，时间不太能确定,5 - 广为人知，老少咸宜的全民爱好,5
WOTA艺,起源于日本的一种挥舞荧光棒的应援方式，起初只是在地下偶像圈子流行，之后逐渐独立出来成为一种独立的应援或表演形式。WOTA艺一般双脚分开站立，靠上半身及双手的各种动作完成各种“技”（即动作组合），动作幅度较大，观赏性比较好。,3~5年,300-400,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：百来块甚至更低   精通：购买荧光棒最多四五百,入门：一个月左右       精通：起码两三年,2,2
手账,不太小众吧，主要用来记录自己的生活与创意,1~3年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,主要看天赋和灵感吧，毕竟做【垃圾手账】的不用花钱也可以做的很好看,入门：上手即入门  精通：1-3年,3 - 不高不低,3
黑胶,还好吧 想买的黑胶都买的到,<1年,2000+,萌新入门阶段，还在摸索学习,1,1~3小时,无底洞吧,三到五年,4,4
看网络小说,起点，纵横等网络小说网站,>10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0，1000,0，3年,5 - 广为人知，老少咸宜的全民爱好,5
玩游戏,,3~5年,5000+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1000+ 8000+,1月 2年,无须作答,
汉服,有服章之美谓之华，有礼仪之大谓之夏。,5~10年,1500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,200元(一套基础的汉服)，4000元(各种形制各种面料的汉服),一天(迅速认识各种形制)，一个月(每天都关注相关讯息并增长相关知识，包括朝代服饰形制、面料特性、各种搭配、发型、装饰等等),3 - 不高不低,3
英雄联盟,,5~10年,买皮肤花了200￥左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门不要钱 精通小几千,3年,4,4
苔藓缸、生态缸，水草缸造景,用自己的想想，或模仿自然，把自然界的东西报到容器里,<1年,四五百,萌新入门阶段，还在摸索学习,1,<1小时,感觉百儿八千吧，更重要的是先学，再尝试,每天闲了玩会，不到一个小时,2,2
手帐中的胶带拼贴,手帐的玩法特别多，传统是排版记录，我玩的主要是用购买的社团胶带进行类似拼贴画的创作,1~3年,2万起，没统计过,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,本身有艺术基础的玩这个是锦上添花，只是开拓不同表现方式，不需要花多少钱。以我这种告诉美术功底和天赋的来说，我玩到稍微顺手是在花了1万+之后,本身有艺术基础的玩这个是锦上添花，只是开拓不同表现方式，不需要花多少时间。以我这种告诉美术功底和天赋的来说，我玩到稍微顺手是在两年多的时候,3 - 不高不低,3
耽美,,3~5年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,5000,一年,4,4
羽毛球,羽毛球不算小众，但认真学习专业打法的真不多，目前来说羽毛球场地很少，大部分都是找一个家门口打，所以打野球的也较多，当然大部分打野球出来的，但是我也想有很多交流平台交流一下自己的技术和学习一些技术,3~5年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1000,半年,5 - 广为人知，老少咸宜的全民爱好,5
户外徒步,不是自助游，不是爬山。,>10年,30w+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门，一个背包一双运动鞋几百不等。精通1w+,入门，半年。精通，无限时间,3 - 不高不低,3
公路自行车,算小众吗,>10年,5万多一点,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,15000,1年,,
白嫖,看视频不三连,3~5年,0,硬核大佬，这个领域基本玩到头了,4,3~6小时,0,白嫖只有一次和无数次,,
无人机摄影,,<1年,大概1000,萌新入门阶段，还在摸索学习,1,<1小时,5000,4-5年,3 - 不高不低,3
